KIRK,Kirkland's Inc,+1115.30,1,1,11.19,-0.61,-5.17%,13.58,0.56,+582.32%,10/26/20
PRPLW,Purple Innovation Inc WT,+845.08,2,2,9.4,0.03,+0.32%,10.86,0.28,+2,585.71%,10/26/20
ZM,Zoom Video Communications Cl A,+668.60,3,3,517.79,6.27,+1.23%,588.84,62.02,+716.06%,10/26/20
FVRR,Fiverr International Ltd,+586.70,4,4,155.25,-3.64,-2.29%,184.99,19.32,+550.13%,10/26/20
PRTS,U.S. Auto Parts Netw,+521.60,5,7,13.12,-0.19,-1.43%,16.44,1.04,+735.67%,10/26/20
NIO,Nio Inc,+505.90,6,6,26.01,-1.15,-4.23%,29.4,1.36,+1,622.52%,10/26/20
TRIL,Trillium Therapeutic,+489.60,7,5,12.3,-0.68,-5.24%,16.89,0.24,+4,465.70%,10/26/20
NLS,Nautilus Group,+461.70,8,8,23.86,-2.53,-9.59%,27.65,1.2,+1,203.83%,10/26/20
TSLA,Tesla Inc,+458.30,9,11,420.28,-0.35,-0.08%,502.49,61.85,+540.42%,10/26/20
OSTK,Overstock.com Inc,+429.80,10,13,71.09,-0.79,-1.10%,128.5,2.53,+529.67%,10/26/20
SE,Sea Ltd ADR,+402.60,11,12,162.36,-0.6,-0.37%,176.9,28.52,+469.68%,10/26/20
PTON,Peloton Interactive Inc,+396.30,12,10,118.1,-4.43,-3.62%,139.75,17.7,+427.23%,10/26/20
SITM,Sitime Corp,+388.50,13,16,91.11,-2.19,-2.35%,98.63,15.42,+388.53%,10/26/20
PEIX,Pacific Ethanol Inc,+385.40,14,9,7.92,-0.95,-10.71%,11.44,0.22,+1,257.56%,10/26/20
QDEL,Quidel Cp,+373.90,15,23,263.42,15.21,+6.13%,306.72,55.42,+334.40%,10/26/20
ENPH,Enphase Energy Inc,+349.80,16,29,103.67,0.34,+0.33%,118.94,17.18,+322.28%,10/26/20
BTAI,Bioxcel Therapeutics Inc,+335.20,17,27,46.48,-0.04,-0.09%,71.5,3.76,+914.85%,10/26/20
PRPL,Purple Innovation Inc,+329.60,18,20,30.38,-0.05,-0.16%,33.37,4.42,+313.33%,10/26/20
LVGO,Livongo Health Inc,+327.90,19,18,136.67,-2.24,-1.61%,151.05,18.76,+545.58%,10/26/20
CELH,Celsius Holdings Inc,+317.70,20,15,20.72,-1.31,-5.95%,26.76,3.22,+498.84%,10/26/20
DQ,Daqo New Energy,+314.10,21,17,178.81,-19.28,-9.73%,243.64,35.73,+340.64%,10/26/20
RUN,Sunrun Inc,+306.10,22,21,56.3,0.27,+0.48%,82.42,7.84,+269.42%,10/26/20
AWH,Aspira Womans Health Inc,+302.90,23,24,3.6,-0.08,-2.17%,5.78,0.53,+500.10%,10/26/20
PRPH,Prophase Labs Inc,+290.10,24,14,7.61,-1.32,-14.78%,11.18,1.2,+327.53%,10/26/20
STKL,Sunopta Inc,+277.90,25,19,7.46,-0.37,-4.73%,8.17,1.33,+305.43%,10/26/20
EXPI,Exp Realty International,+276.20,26,22,41.53,-2.69,-6.08%,62.5,6.51,+377.36%,10/26/20
RIDEW,Lordstown Motors Corp WT,+273.45,27,,7.16,0.45,+6.71%,14.3,0.3,+722.99%,10/26/20
GLG,China Bat Group Inc,+269.20,28,32,2.83,0,0.00%,4.02,0.56,+375.63%,10/26/20
JKS,Jinkosolar Holding Company Ltd,+268.20,29,26,64.92,0.53,+0.82%,90.2,11.42,+339.24%,10/26/20
IMVT,Immunovant Inc,+265.90,30,35,41.89,-0.28,-0.66%,43.94,8.34,+312.71%,10/26/20
PACB,Pacific Biosciences,+264.20,31,33,13.95,0.05,+0.36%,15.12,2.2,+196.18%,10/26/20
CRNC,Cerence Inc,+260.30,32,39,65.16,-0.04,-0.06%,66.64,11.39,+319.31%,10/26/20
NFE,New Fortress Energy Llc,+259.90,33,28,49.65,-0.94,-1.86%,54.92,7.01,+189.50%,10/26/20
GRVY,Gravity CO Ltd,+253.00,34,36,120.11,-3.55,-2.87%,150,21.49,+269.34%,10/26/20
KSPN,Kaspien Holdings Inc,+251.20,35,63,10.55,0.3,+2.93%,15,1.68,+175.46%,10/26/20
SEDG,Solaredge Tech,+249.60,36,41,273,-9.88,-3.49%,317.88,67.02,+192.92%,10/26/20
FLGT,Fulgent Genetics Inc,+248.00,37,37,34.35,-1.5,-4.18%,52.47,6.7,+246.97%,10/26/20
